City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Iberia,US,29.9502,-91.7507,79.09,78,100,14.97,overcast clouds,2022-04-05 23:09:12
1,Hobart,AU,-42.8794,147.3294,56.26,62,75,4.61,broken clouds,2022-04-05 23:08:04
2,Pevek,RU,69.7008,170.3133,-14.13,98,100,3.94,overcast clouds,2022-04-05 23:09:13
3,Kodiak,US,57.79,-152.4072,42.31,49,100,8.05,overcast clouds,2022-04-05 23:09:13
4,Vaini,TO,-21.2,-175.2,82.56,78,75,3.44,light intensity shower rain,2022-04-05 23:05:25
5,Atuona,PF,-9.8,-139.0333,79.36,71,2,22.62,clear sky,2022-04-05 23:09:13
6,Port Alfred,ZA,-33.5906,26.891,63.03,77,5,10.11,clear sky,2022-04-05 23:09:14
7,Bredasdorp,ZA,-34.5322,20.0403,59.11,74,1,12.88,clear sky,2022-04-05 23:09:14
8,Jacqueville,CI,5.2052,-4.4146,82.09,87,99,10.6,overcast clouds,2022-04-05 23:09:14
9,Airai,TL,-8.9266,125.4092,63.19,82,68,2.15,broken clouds,2022-04-05 23:09:14
10,Ancud,CL,-41.8697,-73.8203,58.23,93,100,14.29,light rain,2022-04-05 23:09:15
11,Mahebourg,MU,-20.4081,57.7,79.09,89,75,8.05,broken clouds,2022-04-05 23:09:15
12,Fairbanks,US,64.8378,-147.7164,32.59,56,75,3.44,broken clouds,2022-04-05 23:04:15
13,Suoyarvi,RU,62.0833,32.35,27.5,90,100,11.01,overcast clouds,2022-04-05 23:09:16
14,Kathmandu,NP,27.7167,85.3167,62.82,82,20,0.0,few clouds,2022-04-05 23:07:38
15,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,74,10.04,broken clouds,2022-04-05 23:09:16
16,Laguna,US,38.421,-121.4238,77.29,18,0,17.27,clear sky,2022-04-05 23:03:25
17,Eyrarbakki,IS,63.863,-21.1481,24.22,69,13,14.18,few clouds,2022-04-05 23:09:16
18,Yellowknife,CA,62.456,-114.3525,32.41,80,95,10.0,overcast clouds,2022-04-05 23:09:17
19,Emba,KZ,48.8264,58.1442,38.48,70,100,1.41,overcast clouds,2022-04-05 23:03:35
20,Port-Gentil,GA,-0.7193,8.7815,80.96,81,79,11.07,broken clouds,2022-04-05 23:09:17
21,Manggar,ID,-2.8833,108.2667,77.2,85,40,4.99,scattered clouds,2022-04-05 23:09:17
22,Fortuna,US,40.5982,-124.1573,56.93,62,0,17.27,clear sky,2022-04-05 23:09:18
23,Faanui,PF,-16.4833,-151.75,83.16,75,8,19.93,clear sky,2022-04-05 23:09:18
24,Saint-Augustin,CA,51.226,-58.6502,34.09,84,100,11.88,overcast clouds,2022-04-05 23:04:01
25,Tuktoyaktuk,CA,69.4541,-133.0374,-4.14,88,44,4.72,scattered clouds,2022-04-05 23:09:18
26,Soe,ID,-9.8607,124.284,68.05,86,92,2.28,overcast clouds,2022-04-05 23:09:19
27,Katsuura,JP,35.1333,140.3,59.94,79,100,6.11,overcast clouds,2022-04-05 23:09:19
28,Dikson,RU,73.5069,80.5464,2.43,79,97,17.56,overcast clouds,2022-04-05 23:09:19
29,Subottsi,UA,48.6554,32.5209,43.45,73,99,10.25,overcast clouds,2022-04-05 23:09:20
30,Mataura,NZ,-46.1927,168.8643,50.43,79,54,12.35,broken clouds,2022-04-05 23:09:20
31,Luanshya,ZM,-13.1367,28.4166,64.47,99,100,4.41,moderate rain,2022-04-05 23:09:20
32,Pisco,PE,-13.7,-76.2167,68.05,83,0,16.11,clear sky,2022-04-05 23:09:21
33,Huarmey,PE,-10.0681,-78.1522,71.58,79,74,10.63,broken clouds,2022-04-05 23:09:21
34,Busselton,AU,-33.65,115.3333,54.81,80,12,8.16,few clouds,2022-04-05 23:09:21
35,Kahului,US,20.8947,-156.47,86.02,48,0,20.71,clear sky,2022-04-05 23:09:22
36,Hilo,US,19.7297,-155.09,76.73,79,100,8.05,overcast clouds,2022-04-05 23:05:27
37,Huercal-Overa,ES,37.389,-1.9454,48.24,85,98,6.2,overcast clouds,2022-04-05 23:09:22
38,Broome,US,42.2506,-75.833,57.97,41,0,5.75,clear sky,2022-04-05 23:03:48
39,Kolobrzeg,PL,54.1757,15.5834,41.97,75,100,16.6,overcast clouds,2022-04-05 23:09:22
40,Brokopondo,SR,4.75,-55.1667,77.38,86,29,12.19,scattered clouds,2022-04-05 23:09:23
41,Saskylakh,RU,71.9167,114.0833,-24.59,100,65,3.6,broken clouds,2022-04-05 23:09:23
42,Ushuaia,AR,-54.8,-68.3,37.06,87,40,25.32,light intensity drizzle,2022-04-05 23:05:21
43,Cabo San Lucas,MX,22.8909,-109.9124,78.62,64,0,11.5,clear sky,2022-04-05 23:09:23
44,Emerald,AU,-23.5333,148.1667,77.34,66,52,10.31,broken clouds,2022-04-05 23:04:48
45,Narsaq,GL,60.9167,-46.05,35.82,86,26,0.94,scattered clouds,2022-04-05 23:09:24
46,Avarua,CK,-21.2078,-159.775,84.25,74,100,8.05,overcast clouds,2022-04-05 23:09:24
47,Punta Arenas,CL,-53.15,-70.9167,44.11,61,20,11.5,few clouds,2022-04-05 23:05:32
48,Prince Rupert,CA,54.3161,-130.3201,35.69,87,100,3.44,light snow,2022-04-05 23:09:24
49,Arlit,NE,18.7369,7.3853,86.65,6,73,8.99,broken clouds,2022-04-05 23:09:25
50,Tessalit,ML,20.1986,1.0114,86.32,6,0,4.34,clear sky,2022-04-05 23:03:48
51,Richards Bay,ZA,-28.783,32.0377,71.69,90,48,1.1,scattered clouds,2022-04-05 23:09:25
52,Hami,CN,42.8,93.45,58.82,19,0,8.12,clear sky,2022-04-05 23:09:25
53,Bethel,US,41.3712,-73.414,52.65,53,96,6.44,overcast clouds,2022-04-05 23:09:26
54,Altamont,US,42.2068,-121.7372,50.77,36,0,9.22,clear sky,2022-04-05 23:06:33
55,Georgetown,MY,5.4112,100.3354,76.95,94,20,2.3,thunderstorm,2022-04-05 23:09:26
56,Teya,RU,60.3778,92.6267,34.47,98,100,6.22,overcast clouds,2022-04-05 23:09:26
57,Mandera,KE,3.9366,41.867,83.8,51,25,19.53,scattered clouds,2022-04-05 23:04:27
58,Rikitea,PF,-23.1203,-134.9692,78.62,68,37,18.16,scattered clouds,2022-04-05 23:05:21
59,Arauca,CO,7.0847,-70.7591,82.24,66,84,3.15,broken clouds,2022-04-05 23:04:55
60,Udachnyy,RU,66.4167,112.4,-13.09,100,100,4.36,overcast clouds,2022-04-05 23:09:27
61,Dongsheng,CN,39.8161,109.9776,46.47,24,100,11.21,overcast clouds,2022-04-05 23:09:27
62,Castro,BR,-24.7911,-50.0119,65.75,91,36,3.2,scattered clouds,2022-04-05 23:09:27
63,Nieves,PH,15.3274,120.9485,79.11,74,97,3.31,overcast clouds,2022-04-05 23:09:28
64,Elban,RU,50.1018,136.5094,27.7,76,97,16.6,overcast clouds,2022-04-05 23:09:28
65,Sembakung,ID,3.8167,117.25,72.46,99,100,1.92,light rain,2022-04-05 23:09:28
66,Vanimo,PG,-2.6741,141.3028,81.54,73,100,2.71,overcast clouds,2022-04-05 22:59:40
67,Bilma,NE,18.6853,12.9164,85.86,7,3,6.85,clear sky,2022-04-05 23:09:29
68,Shahe,CN,39.2708,113.5478,41.72,61,66,7.85,broken clouds,2022-04-05 23:09:29
69,Cruzeiro Do Sul,BR,-29.5128,-51.9853,70.09,87,93,4.21,overcast clouds,2022-04-05 23:09:29
70,Elko,US,41.0002,-115.5012,48.22,30,12,17.0,few clouds,2022-04-05 23:09:30
71,Hermanus,ZA,-34.4187,19.2345,61.81,82,3,14.94,light rain,2022-04-05 23:07:58
72,Mitu,CO,1.1983,-70.1733,72.59,98,98,2.28,overcast clouds,2022-04-05 23:04:14
73,Albany,US,42.6001,-73.9662,57.61,45,97,4.09,overcast clouds,2022-04-05 23:06:33
74,Berlevag,NO,70.8578,29.0864,30.0,81,100,28.66,overcast clouds,2022-04-05 23:01:51
75,Shenjiamen,CN,29.9576,122.298,56.75,85,86,3.31,overcast clouds,2022-04-05 23:09:30
76,Torbay,CA,47.6666,-52.7314,36.57,89,75,19.57,broken clouds,2022-04-05 23:09:30
77,Victoria,HK,22.2855,114.1577,68.38,81,17,1.99,few clouds,2022-04-05 23:09:31
78,Kuruman,ZA,-27.4524,23.4325,52.0,45,0,8.88,clear sky,2022-04-05 23:09:31
79,Koutiala,ML,12.3917,-5.4642,92.88,29,77,6.02,broken clouds,2022-04-05 23:09:31
80,Caravelas,BR,-17.7125,-39.2481,77.27,81,4,4.65,clear sky,2022-04-05 23:03:39
81,Itoman,JP,26.1247,127.6694,68.02,57,75,11.5,broken clouds,2022-04-05 23:09:32
82,Fort-Shevchenko,KZ,44.5086,50.263,50.52,60,97,9.42,overcast clouds,2022-04-05 23:04:34
83,Kalianget,ID,-7.05,113.9333,78.94,78,68,3.06,heavy intensity rain,2022-04-05 23:09:32
84,Beringovskiy,RU,63.05,179.3167,4.46,72,12,4.18,few clouds,2022-04-05 23:09:32
85,Amet,IN,25.3,73.9333,78.76,19,45,9.24,scattered clouds,2022-04-05 23:09:33
86,Lompoc,US,34.6391,-120.4579,88.79,59,1,31.0,clear sky,2022-04-05 23:06:41
87,Thompson,CA,55.7435,-97.8558,31.78,89,97,8.86,overcast clouds,2022-04-05 23:09:33
88,Sapa,PH,5.1544,120.3241,79.09,85,96,4.65,overcast clouds,2022-04-05 23:09:33
89,Barrow,US,71.2906,-156.7887,-12.98,77,40,5.75,haze,2022-04-05 23:09:22
90,Bluff,NZ,-46.6,168.3333,53.01,70,97,34.0,overcast clouds,2022-04-05 23:09:34
91,Ribeira Grande,PT,38.5167,-28.7,60.76,85,70,13.18,broken clouds,2022-04-05 23:09:34
92,Lazaro Cardenas,MX,17.9583,-102.2,79.81,59,80,11.12,broken clouds,2022-04-05 23:09:34
93,Florenville,BE,49.6998,5.3074,47.35,97,98,11.01,overcast clouds,2022-04-05 23:09:35
94,Cape Town,ZA,-33.9258,18.4232,58.26,88,20,1.99,few clouds,2022-04-05 23:08:04
95,Kapaa,US,22.0752,-159.319,79.2,80,75,12.66,broken clouds,2022-04-05 23:09:35
96,Jamestown,US,42.097,-79.2353,60.44,25,0,4.61,clear sky,2022-04-05 23:09:35
97,Aykhal,RU,66.0,111.5,-5.89,100,100,5.14,overcast clouds,2022-04-05 23:09:35
98,Ponta Do Sol,PT,32.6667,-17.1,59.63,56,36,8.03,scattered clouds,2022-04-05 23:09:36
99,Tromso,NO,69.6496,18.957,30.38,80,75,23.02,broken clouds,2022-04-05 23:09:36
100,Iquitos,PE,-3.7481,-73.2472,82.44,78,40,5.75,scattered clouds,2022-04-05 23:09:36
101,Solnechnyy,RU,50.7214,136.6319,24.66,78,87,12.19,overcast clouds,2022-04-05 23:09:37
102,Qaanaaq,GL,77.484,-69.3632,13.05,83,77,0.92,broken clouds,2022-04-05 23:09:37
103,Brownsville,US,25.9018,-97.4975,91.09,71,0,14.97,haze,2022-04-05 23:06:34
104,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,75,8.05,light rain,2022-04-05 23:09:37
105,Shihezi,CN,44.3,86.0333,59.27,29,35,5.48,scattered clouds,2022-04-05 23:04:50
106,Cidreira,BR,-30.1811,-50.2056,67.17,76,16,6.6,few clouds,2022-04-05 23:09:38
107,Puerto Ayora,EC,-0.7393,-90.3518,79.56,90,49,1.99,scattered clouds,2022-04-05 23:05:33
108,Cherskiy,RU,68.75,161.3,-4.58,91,54,3.47,broken clouds,2022-04-05 23:09:38
109,Zhigansk,RU,66.7697,123.3711,-7.64,97,51,10.13,broken clouds,2022-04-05 23:09:38
110,Port Victoria,KE,0.0939,33.9756,70.79,65,71,7.58,broken clouds,2022-04-05 23:09:39
111,Yen Bai,VN,21.7,104.8667,65.5,75,20,0.4,few clouds,2022-04-05 23:09:39
112,Luderitz,NA,-26.6481,15.1594,60.39,79,0,12.37,clear sky,2022-04-05 23:09:39
113,Belmonte,BR,-15.8631,-38.8828,78.51,79,3,6.04,clear sky,2022-04-05 23:07:04
114,Hithadhoo,MV,-0.6,73.0833,82.2,66,52,4.63,broken clouds,2022-04-05 23:09:39
115,Almaznyy,RU,48.0448,40.045,34.92,67,55,8.41,broken clouds,2022-04-05 23:09:40
116,Drayton Valley,CA,53.2168,-114.9854,45.09,40,100,16.51,overcast clouds,2022-04-05 23:09:40
117,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,76,75,17.27,broken clouds,2022-04-05 23:09:40
118,Shingu,JP,33.7333,135.9833,58.23,59,100,1.43,overcast clouds,2022-04-05 23:09:41
119,Buraydah,SA,26.326,43.975,75.45,13,8,10.8,clear sky,2022-04-05 23:09:17
120,Bilibino,RU,68.0546,166.4372,0.5,77,43,2.08,scattered clouds,2022-04-05 23:09:41
121,Grants Pass,US,42.439,-123.3284,60.19,36,20,3.0,few clouds,2022-04-05 23:09:41
122,Arak,IR,34.0917,49.6892,55.33,23,17,5.88,few clouds,2022-04-05 23:09:42
123,Calamar,CO,10.2511,-74.9146,85.33,64,82,4.38,broken clouds,2022-04-05 23:09:42
124,Siocon,PH,7.7061,122.1353,77.49,87,100,4.72,overcast clouds,2022-04-05 23:09:42
125,Erzin,TR,36.9559,36.2,65.05,38,88,3.0,overcast clouds,2022-04-05 23:09:42
126,Chuy,UY,-33.6971,-53.4616,57.78,67,0,6.91,clear sky,2022-04-05 23:08:21
127,Kidal,ML,18.4411,1.4078,88.0,5,1,11.41,clear sky,2022-04-05 23:09:43
128,Djibo,BF,14.1022,-1.6306,92.75,19,83,4.34,broken clouds,2022-04-05 23:09:43
129,Husavik,IS,66.0449,-17.3389,28.44,79,100,28.39,light snow,2022-04-05 23:04:27
130,Cayenne,GF,4.9333,-52.3333,77.09,1,75,4.0,broken clouds,2022-04-05 23:09:43
131,Leningradskiy,RU,69.3833,178.4167,-1.28,85,20,21.56,few clouds,2022-04-05 23:06:35
132,Coahuayana,MX,18.7333,-103.6833,81.82,52,56,6.62,broken clouds,2022-04-05 23:09:44
133,Pochutla,MX,15.7432,-96.4661,84.02,49,0,10.94,clear sky,2022-04-05 23:09:44
134,Nikolskoye,RU,59.7035,30.7861,28.71,79,91,13.62,light snow,2022-04-05 23:09:44
135,Hasaki,JP,35.7333,140.8333,59.29,75,100,8.05,overcast clouds,2022-04-05 23:09:45
136,Mayo,US,38.8876,-76.5119,55.56,91,100,6.91,mist,2022-04-05 23:03:49
137,Santa Rosa,PH,14.3122,121.1114,80.02,87,100,10.33,overcast clouds,2022-04-05 23:09:45
138,San Patricio,US,28.017,-97.5169,95.09,50,42,12.37,scattered clouds,2022-04-05 23:09:45
139,Tual,ID,-5.6667,132.75,82.33,69,71,7.07,broken clouds,2022-04-05 23:09:46
140,Mar Del Plata,AR,-38.0023,-57.5575,70.09,60,0,9.22,clear sky,2022-04-05 23:09:10
141,Roma,US,43.2128,-75.4557,56.88,47,75,8.05,broken clouds,2022-04-05 23:03:32
142,Itarema,BR,-2.9248,-39.9167,78.19,85,25,9.8,scattered clouds,2022-04-05 23:09:46
143,Kommunisticheskiy,RU,61.6789,64.4819,21.52,92,100,9.69,overcast clouds,2022-04-05 23:09:46
144,Fukue,JP,32.6881,128.8419,58.86,54,99,8.34,overcast clouds,2022-04-05 23:04:32
145,Mackay,AU,-21.15,149.2,81.68,69,18,9.44,few clouds,2022-04-05 23:05:37
146,Guerrero Negro,MX,27.9769,-114.0611,69.35,60,2,15.79,clear sky,2022-04-05 23:09:47
147,Tura,IN,25.5198,90.2201,70.07,91,10,5.77,clear sky,2022-04-05 23:09:47
148,Severo-Kurilsk,RU,50.6789,156.125,36.82,89,14,3.58,few clouds,2022-04-05 23:08:58
149,Ahipara,NZ,-35.1667,173.1667,71.31,82,55,10.0,broken clouds,2022-04-05 23:04:07
150,Lebu,CL,-37.6167,-73.65,55.72,94,81,9.46,broken clouds,2022-04-05 23:09:47
151,Darnah,LY,32.767,22.6367,66.76,62,100,15.86,overcast clouds,2022-04-05 23:09:48
152,Rosario Oeste,BR,-14.8361,-56.4275,77.9,74,43,0.6,scattered clouds,2022-04-05 23:09:48
153,Rovaniemi,FI,66.5,25.7167,31.41,93,100,17.27,light snow,2022-04-05 23:09:48
154,Curumani,CO,9.1999,-73.5427,80.28,82,99,1.92,overcast clouds,2022-04-05 23:09:49
155,Ulladulla,AU,-35.35,150.4667,62.76,85,97,9.24,light rain,2022-04-05 23:09:49
156,Lakhtar,IN,22.85,71.7833,81.68,46,47,12.41,scattered clouds,2022-04-05 23:09:49
157,Half Moon Bay,US,37.4636,-122.4286,74.88,58,0,14.97,haze,2022-04-05 23:00:36
158,Pila,PL,53.1515,16.7378,39.92,94,100,9.17,light rain,2022-04-05 23:09:50
159,Bayan,CN,46.0833,127.4,29.48,40,0,16.26,clear sky,2022-04-05 23:09:50
160,Karratha,AU,-20.7377,116.8463,82.22,65,3,6.11,clear sky,2022-04-05 23:09:50
161,Khatanga,RU,71.9667,102.5,-9.09,90,10,9.71,clear sky,2022-04-05 23:09:50
162,Sabya,SA,17.1495,42.6254,80.31,42,0,1.03,clear sky,2022-04-05 23:09:51
163,Lavrentiya,RU,65.5833,-171.0,1.24,75,9,5.59,clear sky,2022-04-05 23:09:51
164,Nanpiao,CN,41.0982,120.7479,37.8,18,93,6.35,light rain,2022-04-05 23:09:51
165,Smolenka,RU,52.1352,113.4974,12.27,62,92,4.47,overcast clouds,2022-04-05 23:09:52
166,Sawakin,SD,19.1059,37.3321,79.02,55,0,6.49,clear sky,2022-04-05 23:09:52
167,Yerbogachen,RU,61.2767,108.0108,18.0,96,100,3.4,overcast clouds,2022-04-05 23:08:17
168,Ugoofaaru,MV,5.6667,73.0,81.86,72,45,2.35,scattered clouds,2022-04-05 23:09:52
169,Eyl,SO,7.9803,49.8164,78.21,73,8,8.68,clear sky,2022-04-05 23:09:53
170,Touros,BR,-5.1989,-35.4608,79.63,79,4,11.79,clear sky,2022-04-05 23:09:53
171,Talnakh,RU,69.4865,88.3972,7.81,78,65,8.3,broken clouds,2022-04-05 23:09:53
172,College,US,64.8569,-147.8028,32.58,56,75,3.44,broken clouds,2022-04-05 23:09:53
173,Taoudenni,ML,22.6783,-3.9836,84.22,20,0,11.68,clear sky,2022-04-05 23:09:54
174,Carutapera,BR,-1.195,-46.02,75.04,95,100,3.15,overcast clouds,2022-04-05 23:09:54
175,Itamaraca,BR,-7.7478,-34.8256,82.45,80,100,7.94,overcast clouds,2022-04-05 23:09:54
176,Sydney,AU,-33.8679,151.2073,68.32,93,75,14.97,shower rain,2022-04-05 23:09:55
177,Lieto,FI,60.5103,22.4618,25.93,89,40,11.5,scattered clouds,2022-04-05 23:09:55
178,Kaeo,NZ,-35.1,173.7833,75.33,80,76,9.31,broken clouds,2022-04-05 23:03:42
179,Xicotencatl,MX,23.0167,-98.8833,105.48,7,3,10.71,clear sky,2022-04-05 23:09:55
180,Saint-Pierre,RE,-21.3393,55.4781,78.48,83,100,4.61,overcast clouds,2022-04-05 23:03:21
181,Zhovkva,UA,50.0583,23.9726,39.97,92,100,6.8,light rain,2022-04-05 23:09:56
182,Upernavik,GL,72.7868,-56.1549,25.21,97,100,7.31,light snow,2022-04-05 23:09:56
183,Vaitape,PF,-16.5167,-151.75,83.19,75,8,19.95,clear sky,2022-04-05 23:09:56
184,Pueblo,US,38.2545,-104.6091,74.16,23,20,19.57,few clouds,2022-04-05 23:09:33
185,Chokurdakh,RU,70.6333,147.9167,-10.19,97,80,4.72,broken clouds,2022-04-05 23:09:57
186,Port Elizabeth,ZA,-33.918,25.5701,64.09,73,10,5.01,clear sky,2022-04-05 23:07:57
187,Namibe,AO,-15.1961,12.1522,69.62,83,12,6.71,few clouds,2022-04-05 23:09:57
188,Salalah,OM,17.0151,54.0924,77.09,88,20,2.3,few clouds,2022-04-05 23:09:57
189,Vadamadurai,IN,10.4667,78.0833,76.21,69,39,2.8,scattered clouds,2022-04-05 23:09:58
190,Clyde River,CA,70.4692,-68.5914,-1.17,87,1,3.31,clear sky,2022-04-05 23:09:58
191,Klaksvik,FO,62.2266,-6.589,32.92,68,100,22.62,overcast clouds,2022-04-05 23:09:58
192,Hamilton,US,39.1834,-84.5333,55.35,95,100,4.61,mist,2022-04-05 23:09:58
